,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Total Expected Number of Deaths
153,2103730630.6096425,1.5481655229660611,16310152.64023482,0.015790259165416827,855106695.8835971,1.5473928953132938,0.0,0.0,0.0,0.0,0.0,0.0,3.111348677444772
154,133823810.79013354,0.11119685194423036,2872953.9016099162,0.003284685754012145,1404245207.3432224,2.8047237529476354,16762759.158772718,0.008384813647784322,0.0,0.0,0.0,0.0,2.927590104293662
155,2934117992.348635,1.5680596939133338,0.0,0.0,247723189.9113492,0.3233123809158894,0.0,0.0,0.0,0.0,0.0,0.0,1.891372074829223
156,351850608.10881853,0.256814402116576,0.0,0.0,1582097302.7914314,2.8243166298476736,0.0,0.0,0.0,0.0,0.0,0.0,3.0811310319642495
157,153858952.68172798,0.11460550550010568,3256707.7045794977,0.0033549328097696477,1591971088.3854787,2.8527919013888225,10521254.098755127,0.005077679063207752,0.0,0.0,0.0,0.0,2.9758300187619056
158,432660219.30422634,0.2556172195850801,80613371.24120572,0.06299715136286048,1946389998.534594,2.8099902020077723,0.0,0.0,0.0,0.0,0.0,0.0,3.128604572955713
159,137238047.82272536,0.11462045639424735,182056242.94694743,0.19574255958722706,1408302131.9243615,2.8160312431527434,0.0,0.0,0.0,0.0,0.0,0.0,3.126394259134218
160,2905352584.7201896,1.5488604144595763,0.0,0.0,294804462.92248064,0.3866359937970951,0.0,0.0,0.0,0.0,0.0,0.0,1.9354964082566715
161,2235582720.8254967,1.5272436751486214,0.0,0.0,32420979.290120047,0.05435324927594844,0.0,0.0,0.0,0.0,0.0,0.0,1.5815969244245698
162,1926340154.0814388,1.2078335394753716,0.0,0.0,1723554201.6730404,2.6845909651723705,35664049.272222005,0.009339958056195342,0.0,0.0,0.0,0.0,3.901764462703938
163,2125284676.5197039,1.531238925731525,0.0,0.0,1440330762.8644722,2.5789958491607683,0.0,0.0,0.0,0.0,0.0,0.0,4.110234774892294
164,142460337.96154305,0.1119518972733648,0.0,0.0,1484371936.1973982,2.798533383578942,0.0,0.0,0.0,0.0,0.0,0.0,2.9104852808523067
165,2259760365.838171,1.5831626718901042,0.0,0.0,579989704.5051234,0.995514219077828,0.0,0.0,0.0,0.0,0.0,0.0,2.578676890967932
166,1541041367.9665966,1.4090760158502222,0.0,0.0,1147950025.5641587,2.601194983948251,0.0,0.0,0.0,0.0,0.0,0.0,4.010270999798474
167,2103544102.4089177,1.5554454124484138,18665799.381384816,0.0193634941511508,1429565735.990804,2.641090072753731,0.0,0.0,0.0,0.0,0.0,0.0,4.215898979353296
168,1789835230.201317,1.5209011752592216,0.0,0.0,880138322.6185106,1.8460155733143402,0.0,0.0,0.0,0.0,0.0,0.0,3.366916748573562
169,2237119944.9294987,1.563374639842246,645704516.5001582,0.5658804470941494,1492236436.365158,2.58185010591182,0.0,0.0,0.0,0.0,0.0,0.0,4.7111051928482155
170,2530533562.4287853,1.5718505837245966,0.0,0.0,910632571.3397195,1.4086274030943176,0.0,0.0,0.0,0.0,0.0,0.0,2.980477986818914
171,1817154722.904713,1.5500578595299197,0.0,0.0,1203735580.3360445,2.5267939316570094,0.0,0.0,0.0,0.0,0.0,0.0,4.076851791186929
172,2918054527.493916,1.5573352076627405,84156175.16116263,0.05746654565956615,1914121573.2967665,2.5027576113593577,0.0,0.0,0.0,0.0,0.0,0.0,4.117559364681664
173,2495254484.36579,1.5444949196278448,0.0,0.0,1502817705.3965275,2.3097688014984055,0.0,0.0,0.0,0.0,0.0,0.0,3.8542637211262503
174,2607315641.872592,1.5358313059840092,0.0,0.0,542150903.859675,0.7865474542407467,0.0,0.0,0.0,0.0,0.0,0.0,2.3223787602247556
175,502786756.5573562,0.2595578384821241,0.0,0.0,2235205960.13694,2.8131907534054754,0.0,0.0,0.0,0.0,0.0,0.0,3.0727485918875996
176,1319512529.764968,0.8306290438073866,0.0,0.0,1753872082.1388,2.757419707035896,0.0,0.0,0.0,0.0,0.0,0.0,3.588048750843283
177,1841238598.481972,1.5757812352094156,0.0,0.0,947221951.1143076,1.9856537511381247,0.0,0.0,0.0,0.0,0.0,0.0,3.5614349863475403
178,1958320651.7138426,1.5272436751486214,0.0,0.0,1345793982.5050786,2.62695000522582,0.0,0.0,0.0,0.0,0.0,0.0,4.1541936803744415
179,2875981281.036037,1.5292676870234143,0.0,0.0,165310888.55157828,0.21583309217091,0.0,0.0,0.0,0.0,0.0,0.0,1.7451007791943243
180,164285959.54336822,0.11380389400849633,124958948.79096514,0.11315667255067165,1704385854.7395802,2.837326860872399,0.0,0.0,0.0,0.0,0.0,0.0,3.0642874274315672
181,2946796781.4902353,1.5765289066311818,0.0,0.0,1762856260.4575984,2.3448427896586534,0.0,0.0,0.0,0.0,0.0,0.0,3.9213716962898353
182,1700469579.8102758,1.5493731347298405,35978804.66551007,0.046371810180394005,1186855217.8315887,2.7384314692371583,0.0,0.0,0.0,0.0,0.0,0.0,4.334176414147393
183,2310450483.6676445,1.5272436751486214,2683459.0736175217,0.002283480135039305,552510449.7647973,0.8984490618112719,0.0,0.0,0.0,0.0,0.0,0.0,2.4279762170949324
184,716540081.3782376,0.43793165613427615,581299754.7354938,0.4546716623572347,1840441706.9598215,2.756203979985388,0.0,0.0,0.0,0.0,0.0,0.0,3.648807298476899
185,184135425.31087995,0.11630841050720625,3695387.6071901717,0.0030959743515702643,1885583179.6980152,2.859778266554206,0.0,0.0,0.0,0.0,0.0,0.0,2.979182651412983
186,128139444.31018579,0.11349230445913801,78012577.1908412,0.09070133510937653,1322151334.4724033,2.804346610590336,13391312.49042219,0.007260474216137117,0.0,0.0,0.0,0.0,3.0158007243749876
187,1110737495.0071797,1.0272402386429582,0.0,0.0,1190345125.5626864,2.7505983565514684,0.0,0.0,0.0,0.0,0.0,0.0,3.7778385951944267
188,1166883508.5890653,1.0062168639132163,0.0,0.0,1244151191.1128018,2.660122798165768,0.0,0.0,0.0,0.0,0.0,0.0,3.6663396620789843
189,1987380072.506013,1.5556832961784108,0.0,0.0,1325090281.3048198,2.564304728634581,0.0,0.0,0.0,0.0,0.0,0.0,4.119988024812992
190,2393268875.920818,1.5556832961784108,0.0,0.0,1565630863.306224,2.4887245218626037,0.0,0.0,0.0,0.0,0.0,0.0,4.044407818041014
191,2741701130.55873,1.5493731347298405,0.0,0.0,1809217585.537555,2.5101704285721294,897257.3414102481,0.0002143977323765196,0.0,0.0,0.0,0.0,4.059757961034347
